layer,rel_path,family,module,role,has_desc,has_state,has_algo,has_ctx,is_hot_path,is_bridge,has_legacy_hot_path,tested,note
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Acou_Absorb.f90,Acoustic,MD_Mat_Acou_Absorb,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Acou_Acoustic.f90,Acoustic,MD_Mat_Acou_Acoustic,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Acou_Brg.f90,Acoustic,MD_Mat_Acou_Brg,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Acou_Core.f90,Acoustic,MD_Mat_Acou_Core,Def,True,False,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Acou_Def.f90,Acoustic,MD_Mat_Acou_Def,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Acou_Linear.f90,Acoustic,MD_Mat_Acou_Linear,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Composite/MD_Mat_Comp_Brg.f90,Composite,MD_Mat_Comp_Brg,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Composite/MD_Mat_Comp_Core.f90,Composite,MD_Mat_Comp_Core,Def,True,False,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Composite/MD_Mat_Comp_Def.f90,Composite,MD_Mat_Comp_Def,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Composite/MD_Mat_Comp_Fabric.f90,Composite,MD_Mat_Composite_Fabric,Domain,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Composite/MD_Mat_Comp_Hashin.f90,Composite,MD_Mat_Comp_Hashin,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Composite/MD_Mat_Comp_Laminate.f90,Composite,MD_Mat_Composite_Laminate,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_Damage_Contract.f90,Contract,MD_Mat_Damage_Contract,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_Def.f90,Contract,MD_Mat_Def,Def,True,True,True,True,False,True,False,True,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_Elas_Contract.f90,Contract,MD_Mat_Elas_Contract,Def,False,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_Family_Def.f90,Contract,MD_Mat_Family_Def,Def,False,False,False,False,False,False,False,False,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_Geo_Contract.f90,Contract,MD_Mat_Geo_Contract,Def,True,False,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_Hyper_Contract.f90,Contract,MD_Mat_Hyper_Contract,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_Ids.f90,Contract,MD_Mat_Ids,Def,False,False,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_Plast_Contract.f90,Contract,MD_Mat_Plast_Contract,Def,False,True,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_User_Contract.f90,Contract,MD_Mat_User_Contract,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Contract/MD_Mat_Visco_Contract.f90,Contract,MD_Mat_Visco_Contract,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Creep/MD_Mat_Creep_Brg.f90,Creep,MD_Mat_Creep_Brg,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Creep/MD_Mat_Creep_Core.f90,Creep,MD_Mat_Creep_Core,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Creep/MD_Mat_Creep_Def.f90,Creep,MD_Mat_Creep_Def,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Creep/MD_Mat_Creep_Garofalo.f90,Creep,MD_Mat_Creep_Garofalo,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Creep/MD_Mat_Creep_Gurson.f90,Creep,MD_Mat_Creep_Gurson,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Creep/MD_Mat_Creep_PowerLaw.f90,Creep,MD_Mat_Creep_PowerLaw,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Damage/MD_Mat_Damage_Brg.f90,Damage,MD_Mat_Damage_Brg,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Damage/MD_Mat_Damage_Brittle.f90,Damage,MD_Mat_Damage_Brittle,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Damage/MD_Mat_Damage_CDP.f90,Damage,MD_Mat_Damage_CDP,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Damage/MD_Mat_Damage_Core.f90,Damage,MD_Mat_Damage_Core,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Damage/MD_Mat_Damage_Def.f90,Damage,MD_Mat_Damage_Def,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Damage/MD_Mat_Damage_DuctileDamage.f90,Damage,MD_Mat_Damage_DuctileDamage,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Damage/MD_Mat_Damage_FatigueCrack.f90,Damage,MD_Mat_Damage_FatigueCrack,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Dispatch/MD_Mat_Elas_Dispatch.f90,Dispatch,MD_Mat_Elas_Dispatch,Def,True,False,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Dispatch/MD_Mat_Eval_Types.f90,Dispatch,MD_Mat_Eval_Types,Def,False,False,True,True,False,False,False,False,
L3_MD,ufc_core/L3_MD/Material/Dispatch/MD_Mat_Lib.f90,Dispatch,MD_Mat_Lib,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Dispatch/MD_Mat_Plast_Dispatch.f90,Dispatch,MD_Mat_Plast_Dispatch,Def,True,False,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Dispatch/MD_Mat_Plast_Dispatch_Base.f90,Dispatch,MD_Mat_Plast_Dispatch_Base,Domain,False,True,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_Aniso.f90,Elas,MD_Mat_Elas_Aniso,Def,True,False,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_Brg.f90,Elas,MD_Mat_Elas_Brg,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_Compat.f90,Elas,MD_Mat_Elas_Compat,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_Core.f90,Elas,MD_Mat_Elas_Core,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_Def.f90,Elas,MD_Mat_Elas_Def,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_Hypo.f90,Elas,MD_Mat_Elas_Hypo,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_Iso.f90,Elas,MD_Mat_Elas_Iso,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_Ortho.f90,Elas,MD_Mat_Elas_Ortho,Domain,True,True,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_Porous.f90,Elas,MD_Mat_Elas_Porous,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Elas/MD_Mat_Elas_TransIso.f90,Elas,MD_Mat_Elas_TransIso,Def,True,True,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Geo/MD_Mat_Geo_Brg.f90,Geo,MD_Mat_Geo_Brg,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Geo/MD_Mat_Geo_CamClay.f90,Geo,MD_Mat_Geo_CamClay,Def,True,True,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Geo/MD_Mat_Geo_ConcreteDamage.f90,Geo,MD_Mat_Geo_ConcreteDamage,Domain,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Geo/MD_Mat_Geo_Core.f90,Geo,MD_Mat_Geo_Core,Def,True,False,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Geo/MD_Mat_Geo_Def.f90,Geo,MD_Mat_Geo_Def,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Geo/MD_Mat_Geo_DruckerPrager.f90,Geo,MD_Mat_Geo_DruckerPrager,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Geo/MD_Mat_Geo_MohrCoulomb.f90,Geo,MD_Mat_Geo_MohrCoulomb,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Hyper/MD_Mat_Hyper_ArrudaBoyce.f90,Hyper,MD_Mat_Hyper_ArrudaBoyce,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Hyper/MD_Mat_Hyper_Brg.f90,Hyper,MD_Mat_Hyper_Brg,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Hyper/MD_Mat_Hyper_Core.f90,Hyper,MD_Mat_Hyper_Core,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Hyper/MD_Mat_Hyper_Def.f90,Hyper,MD_Mat_Hyper_Def,Def,True,True,True,True,False,True,False,False,
